,song,artist,text
132,Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,"""Chill Bill"" by Rob $tone:
    [Verse 1: Rob $tone]
    Rob $tone, two damn phones
    Babylons can't crack the code (no)
    Used to sip out s..."
133,How Far I'll Go,Auli'i Cravalho,"""How Far I’ll Go"" by Walt Disney Records:
    [Verse 1]
    I've been staring at the edge of the water
    Long as I can remember, never really knowing wh..."
134,Hallelujah,Pentatonix,"""Hallelujah"" by Pentatonix:
    [Verse 1: Scott]
    I’ve heard there was a secret chord
    That David played and it pleased the Lord
    But y..."
135,Party Monster,The Weeknd,"""Party Monster"" by The Weeknd:
    [Refrain: The Weeknd]
    I'm good, I'm good, I'm great
    Know it's been a while, now I'm mixing up the dr..."
136,Can't Stop The Feeling!,Justin Timberlake,"""CAN’T STOP THE FEELING!"" by Justin Timberlake:
    [Verse 1]
    I got this feeling inside my bones
    It goes electric, wavey when I turn it on
    All through m..."
137,Say You Won't Let Go,James Arthur,"""Say You Won’t Let Go"" by James Arthur:
    [Verse 1]
    I met you in the dark
    You lit me up
    You made me feel as though
    I was enough
    We danced the ..."
138,OOOUUU,Young M.A,"""OOOUUU"" by Young M.A:
    [Intro]
    Yo, bro, I think I had too much Hennessy, man
    This Hennessy gettin' to me
    I ain't gonna lie,..."
139,1 Night,Lil Yachty,"""1Night"" by Lil Yachty:
    [Hook]
    I know you want this for life
    Taking pictures with all my ice
    But I can't have no wife
    I just..."
140,Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross","""Do You Mind"" by DJ Khaled:
    [Intro: DJ Khaled]
    Another one
    We The Best Music!
    
    [Verse 1: Nicki Minaj]
    Yo, he ain't messin' with ..."
141,Love Me Now,John Legend,"""Love Me Now"" by John Legend:
    [Verse 1]
    Pulling me further, further than I've been before
    Making me stronger, shaking me right to ..."
142,Blue Ain't Your Color,Keith Urban,"""Blue Ain’t Your Color"" by Keith Urban:
    [Verse 1]
    I can...
    See you over there starin' at your drink
    Watchin' that ice sink, all alone tonigh..."
143,All Time Low,Jon Bellion,"""All Time Low"" by Jon Bellion:
    [Verse 1]
    I was the knight in shining armor in your movie
    Would put your lips on mine and love the a..."
144,Wanna Be That Song,Brett Eldredge,"""Wanna Be That Song"" by Brett Eldredge:
    [Verse 1]
    The radio and a sundress
    Making my world all a mess
    Back corner of a cornfield
    Bottle tops..."
145,Last Christmas,Wham!,"""Last Christmas"" by Wham!:
    [Intro]
    Ah, aha
    Ooh, ohh
    Ohh
    
    [Chorus]
    Last Christmas, I gave you my heart
    But the very next day you..."
146,Love On The Brain,Rihanna,"""Love on the Brain"" by Rihanna:
    [Verse 1]
    And you got me like, ""Oh, what you want from me?""
    (What you want from me?)
    And I tried to ..."
147,Redbone,Childish Gambino,"""Redbone"" by Childish Gambino:
    [Verse 1]
    Daylight
    I wake up feeling like you won't play right
    I used to know, but now that shit don..."
148,Don't Let Me Down,The Chainsmokers Featuring Daya,"""Don’t Let Me Down"" by The Chainsmokers:
    [Verse 1]
    Crashing, hit a wall
    Right now I need a miracle
    Hurry up now, I need a miracle
    Stranded, r..."
149,Party,Chris Brown Featuring Usher & Gucci Mane,"""Party"" by Chris Brown:
    [Intro: Usher & Chris Brown]
    Oh, hey
    Yeah, it's Breezy
    Yeah, yeah, yeah
    
    [Chorus: Chris Brown]
    Pull ..."
150,I Feel It Coming,The Weeknd Featuring Daft Punk,"""I Feel It Coming"" by The Weeknd:
    [Intro: The Weeknd]
    Yeah, uh
    
    [Verse 1: The Weeknd]
    Tell me what you really like
    Baby, I can take my..."
151,Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert,"""Too Much Sauce"" by DJ Esco:
    [Intro: DJ Esco + Future]
    DJ Esco, Lil Uzi Vert, Future
    That's too much sauce
    That's too much sauce
    ..."
152,Sneakin',Drake Featuring 21 Savage,"""Sneakin’"" by Drake:
    [Intro: Drake & Skooly]
    Yeah
    We got London On Da Track
    
    [Verse 1: Drake]
    This is all God's doin', ma..."
153,Water Under The Bridge,Adele,"""Water Under the Bridge"" by Adele:
    [Verse 1]
    If you're not the one for me
    Then how come I can bring you to your knees?
    If you're not th..."
154,Pick Up The Phone,Young Thug And Travis Scott Featuring Quavo,"""Pick Up the Phone"" by Young Thug & Travis Scott:
    [Intro: Young Thug & Starrah]
    Yaaah, oh, yaaah, uhh
    Ooooh, Thugger
    Yeah, Travis Scott
    Thugger, Thugg..."
155,Both,Gucci Mane Featuring Drake,"""Both"" by Gucci Mane:
    [Intro: Southside & Future]
    Southside
    If Young Metro don't trust you, I'm gon' shoot you
    
    [Verse 1: ..."
156,Immortal,J. Cole,"""Immortal"" by J. Cole:
    [Intro]
    Awwwww...haha
    
    [Verse 1]
    Now I was barely seventeen with a pocket full of hope
    Screamin' ""do..."
157,Deja Vu,J. Cole,"""Deja Vu"" by J. Cole:
    [Intro]
    Huh, ayy, put a finger in the sky if you want it, nigga
    Ayy, put two fingers in the sky if y..."
158,Unsteady,X Ambassadors,"""Unsteady"" by X Ambassadors:
    [Intro]
    Hold, hold on, hold on to me
    'Cause I'm a little unsteady, a little unsteady
    Hold, hold on, ..."
159,You Was Right,Lil Uzi Vert,"""You Was Right"" by Lil Uzi Vert:
    [Intro]
    Hit it from the back, watch a nigga bless you
    If Young Metro don't trust you I'm gon' shoot ..."
160,Better Man,Little Big Town,"""Better Man"" by Little Big Town:
    [Verse 1]
    I know I’m probably better off on my own
    Than lovin' a man who didn’t know
    What he had whe..."
161,Treat You Better,Shawn Mendes,"""Treat You Better"" by Shawn Mendes:
    [Verse 1]
    I won't lie to you
    I know he's just not right for you
    And you can tell me if I'm off
    But I..."
162,Make Me (Cry),Noah Cyrus Featuring Labrinth,"""Make Me (Cry)"" by Noah Cyrus:
    [Chorus: Noah Cyrus & Labrinth + Both]
    I never needed you like I do right now
    I never needed you lik..."
163,How Far I'll Go,Alessia Cara,"""How Far I’ll Go"" by Alessia Cara:
    [Verse 1]
    I've been staring at the edge of the water
    Long as I can remember, never really knowing wh..."
164,Reminder,The Weeknd,"""Reminder"" by The Weeknd:
    [Verse 1]
    Record man play my song on the radio
    You too busy tryna find that blue-eyed soul
    I let my ..."
165,Million Reasons,Lady Gaga,"""Million Reasons"" by Lady Gaga:
    [Verse 1]
    You're giving me a million reasons to let you go
    You're giving me a million reasons to qui..."
166,Sleep Without You,Brett Young,"""Sleep Without You"" by Brett Young:
    [Intro]
    Oh, babe
    
    [Verse 1]
    Never thought I would be like this
    Wide awake waitin' on a goodnight kis..."
167,Chantaje,Shakira Featuring Maluma,"""Chantaje"" by Shakira:
    [Letra de ""Chantaje"" ft. Maluma]
    
    [Verso 1: Maluma]
    Cuando estás bien te alejas de mí
    Te sientes sol..."
168,Mercy,Shawn Mendes,"""Mercy"" by Shawn Mendes:
    [Verse 1]
    You've got a hold on me
    Don't even know your power
    I stand a hundred feet
    But I fall when ..."
169,Star Of The Show,Thomas Rhett,"""Star of the Show"" by Thomas Rhett:
    [Verse 1]
    Walking down the street, hand in mine
    It don't keep them other guys
    And their wandering ey..."
170,All We Know,The Chainsmokers Featuring Phoebe Ryan,"""All We Know"" by The Chainsmokers:
    [Verse 1: Phoebe Ryan & Andrew Taggart]
    Fighting flames with fire
    Hang onto burning wires
    We don't c..."
171,A Guy With A Girl,Blake Shelton,"""A Guy With a Girl"" by Blake Shelton:
    [Verse 1]
    Sometimes I'm the guy with the boys kicking it back
    Or the guy with a guitar singing on a ..."
172,Thinking Out Loud,Ed Sheeran,"""Thinking Out Loud"" by Ed Sheeran:
    [Verse 1]
    When your legs don't work like they used to before
    And I can't sweep you off of your feet
    ..."
173,She's Mine Pt.1,J. Cole,"""Hip-Hop’s Greatest Singles By Year"" by Ego Trip Magazine:
    1979
    
    1. Sugarhill Gang ""Rapper's Delight"" (Sugarhill)
    2. Grandmaster Flash & the Furious 5 ""Superra..."
174,Play That Song,Train,"""Play That Song"" by Train:
    [Chorus]
    Play that song
    The one that makes me go all night long
    The one that makes me think of you
    T..."
175,Dirty Laundry,Carrie Underwood,"""Dirty Laundry"" by Carrie Underwood:
    [Verse 1]
    That lipstick on your collar, well, it ain't my shade of pink
    And I can tell by the smell ..."
176,HandClap,Fitz And The Tantrums,"""HandClap"" by Fitz and the Tantrums:
    [Intro]
    Turn it up
    
    [Verse 1]
    Somebody save your soul 'cause you've been sinnin' in this city, I kno..."
177,Just Hold On,Steve Aoki & Louis Tomlinson,"""Just Hold On"" by Steve Aoki & Louis Tomlinson:
    [Verse 1: Louis Tomlinson]
    Wish that you could build a time machine
    So you could see
    The things no o..."
178,Take Me To Church,Hozier,"""Take Me to Church"" by Hozier:
    [Produced by Hozier and Rob Kirwan]
    
    [Video directed by Brendan Canty and Conal Thomson]
    
    [Verse 1]
    ..."
179,Change,J. Cole,"""Change"" by J. Cole:
    [Intro: J. Cole]
    My intuition is telling me there'll be better days, yeah
    My intuition is telling me..."
180,Sidewalks,The Weeknd Featuring Kendrick Lamar,"""Sidewalks"" by The Weeknd:
    [Intro: The Weeknd]
    Uh, uh, uh, uh-uh, uh, yeah, like
    
    [Verse 1: The Weeknd]
    I ran out of tears when..."
181,Ville Mentality,J. Cole,"""Ville Mentality"" by J. Cole:
    [Hook]
    How long can I survive with this mentality?
    How long can I survive with this mentality?
    Thing..."
182,How I'll Always Be,Tim McGraw,"""How I’ll Always Be"" by Tim McGraw:
    [Verse 1]
    I'm a little more beer bottle beer joint than a fancy bar
    I'm a little more sitting up hig..."
183,Blank Space,Taylor Swift,"""Blank Space"" by Taylor Swift:
    [Verse 1]
    Nice to meet you, where you been?
    I could show you incredible things
    Magic, madness, heave..."
184,Song For Another Time,Old Dominion,"""Song for Another Time"" by Old Dominion:
    [Verse 1]
    Right now we both know
    We're Marina Del Ray
    Planes gonna fly away
    And you'll be on it
    And ..."
185,Dirt On My Boots,Jon Pardi,"""Dirt On My Boots"" by Jon Pardi:
    [Verse 1]
    Been up since the crack of dawn
    Just trying to get paid
    Been hotter than a hundred suns
    I ..."
186,Shake It Off,Taylor Swift,"""Shake It Off"" by Taylor Swift:
    [Video directed by Mark Romanek]
    
    [Verse 1]
    I stay out too late
    Got nothing in my brain
    That's what ..."
187,Foldin Clothes,J. Cole,"""Foldin Clothes"" by J. Cole:
    [Intro]
    Hey, hey
    Hey, hey
    Hey, hey
    
    [Hook]
    I wanna fold clothes for you
    I wanna make you feel good
    B..."
188,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,"""Clean Bandit - Rockabye ft. Sean Paul & Anne-Marie"" by DJ Shadow:
    Call it love and devotion
    Call it a mom's adoration
    Foundation
    A special bond of creation,
    Ha
    
    For a..."
189,OTW,DJ Luke Nasty,"""OTW"" by DJ Luke Nasty:
    [Intro]
    Wait
    Three
    Whoo
    Uh
    
    [Hook]
    Doing 80 in a 60 fuck a ticket
    'Cause I ain't had that pussy in a..."
190,Selfish,PnB Rock,"""Selfish"" by PnB Rock:
    [Intro]
    I want you all to myself
    You don't need nobody else
    I want you all to myself, I swear yeah
    O..."
191,Swang,Rae Sremmurd,"""Swang"" by Rae Sremmurd:
    [Intro]
    Mmm boy, it's nasty (uh)
    Uhmm
    Know some young niggas like to swang (Yeah, uhmm)
    Know some yo..."
192,Alone,Marshmello,"""Alone"" by Marshmello:
    [Verse]
    I'm so alone, nothing feels like home
    I'm so alone, trying to find my way back home to you
    I..."
193,Red Opps,21 Savage,"""Red Opps"" by 21 Savage:
    [Intro]
    Yeah, Yeah, Yeah
    I pull up roll the window down and
    (pop pop pop pop pop)
    I pull up roll the..."
194,You're Welcome,Dwayne Johnson,"""You’re Welcome"" by Dwayne “The Rock” Johnson:
    [Verse 1]
    Okay, okay, I see what's happening here
    You're face-to-face with greatness and it's strang..."
195,Versace On The Floor,Bruno Mars,"""Versace on the Floor"" by Bruno Mars:
    [Verse 1]
    Let's take our time tonight, girl
    Above us all the stars are watchin'
    There's no place I'd..."
196,Fresh Eyes,Andy Grammer,"""Fresh Eyes"" by Andy Grammer:
    [Verse 1]
    I got these fresh eyes, never seen you before like this
    My God, you're beautiful
    It's like..."
197,For Whom The Bell Tolls,J. Cole,"""For Whom the Bell Tolls"" by J. Cole:
    [Intro]
    I see the, I see the—
    I see the, I see the—
    I see the rain
    Pouring down
    Before my very eyes
    ..."
198,Uptown Funk!,Mark Ronson Featuring Bruno Mars,"""Uptown Funk"" by Mark Ronson:
    [Verse 1: Bruno Mars]
    This hit, that ice cold
    Michelle Pfeiffer, that white gold
    This one, for them ..."
199,Six Feet Under,The Weeknd,"""Six Feet Under"" by The Weeknd:
    [Verse 1: The Weeknd]
    Ask around about her
    She don't get emotional
    Kill off all her feelings
    That's ..."
